,postcode,bedrooms,main_type,second_level_type,footprint_area_sqm,abshmin,absh2,abshmax,relh2,relhmax,internal_floor_area_sqm,chain_1_hash
4459,SW11 5NZ,1,FLA,CNV,71.92481,19.9,26.3,30.3,6.4,10.4,56.0,b4ebd5bf5e253f8f135a9a422c30e495
4460,SW11 1QB,3,FLA,CNV,80.24939,9.5,15.2,19.6,5.7,10.1,40.0,c3a6db321feba2e0733e84e875f0c3f0
4461,SW11 5NZ,3,FLA,CNV,71.92481,19.9,26.3,30.3,6.4,10.4,90.0,b4ebd5bf5e253f8f135a9a422c30e495
4462,SW11 6QY,5,HSE,TERR,71.07563,14.7,19.9,23.5,5.2,8.8,164.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4463,SW11 6QY,4,HSE,TERR,72.01436,14.5,18.4,23.5,3.9,9.0,151.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4464,SW11 3NJ,3,FLA,CNV,4.10624,4.5,15.6,15.8,11.1,11.3,74.0,91c56f65a2a35818c4d168da538da927
4465,SW11 6QY,5,HSE,TERR,73.4044,18.4,25.9,30.0,7.5,11.6,221.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4466,SW11 1QB,2,FLA,CNV,61.80375,9.7,14.4,19.9,4.7,10.2,50.0,c3a6db321feba2e0733e84e875f0c3f0
4467,SW11 3NJ,4,FLA,CNV,45.93875,4.3,15.2,15.9,10.9,11.6,88.0,cdf50c445ff4008c91e7a890872a1ac9
4468,SW11 6QY,4,HSE,TERR,73.7805,13.8,18.8,21.6,5.0,7.8,166.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4469,SW11 1QB,1,FLA,CNV,61.80375,9.7,14.4,19.9,4.7,10.2,51.0,c3a6db321feba2e0733e84e875f0c3f0
4470,SW11 2JZ,3,FLA,CNV,83.46011,4.1,13.5,17.0,9.4,12.9,59.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4471,SW11 3NJ,3,FLA,CNV,36.37875,4.5,15.4,16.0,10.9,11.5,72.0,91c56f65a2a35818c4d168da538da927
4472,SW11 5PA,5,HSE,TERR,75.2537,17.5,24.9,27.8,7.4,10.3,172.0,73d7322959e69cb2d98fa842c0c2da68
4473,SW11 2JZ,1,FLA,BLK,105.10499,8.3,17.5,22.3,9.2,14.0,30.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4474,SW11 3NL,3,FLA,CNV,35.49375,3.8,14.8,15.1,11.0,11.3,76.0,6ffbd06e7901a09564125719c48e5db4
4475,SW11 1QB,1,FLA,CNV,80.2441,10.0,17.0,20.0,7.0,10.0,55.0,c3a6db321feba2e0733e84e875f0c3f0
4476,SW11 2JZ,1,FLA,BLK,105.10499,8.3,17.5,22.3,9.2,14.0,91.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4477,SW11 3NL,3,FLA,CNV,46.49874,3.8,14.7,15.2,10.9,11.4,75.0,6ffbd06e7901a09564125719c48e5db4
4478,SW11 5PA,2,HSE,SEM,39.6175,18.3,25.0,27.5,6.7,9.2,77.0,2d6007eac8133ddaf5ebf71ccb5908b3
4479,SW11 1QB,1,FLA,CNV,62.51999,10.2,17.1,20.4,6.9,10.2,106.0,c3a6db321feba2e0733e84e875f0c3f0
4480,SW11 3NL,3,FLA,CNV,36.29925,3.9,14.8,15.2,10.9,11.3,70.0,3a7dcf5b21c8d1e08761d7d4caa7528a
4481,SW11 5PA,3,HSE,TERR,79.19616,18.3,25.0,27.6,6.7,9.3,83.0,2d6007eac8133ddaf5ebf71ccb5908b3
4482,SW11 5PA,4,HSE,TERR,70.92291,16.7,23.1,26.2,6.4,9.5,144.0,9899d86eab2d254d729e156882fc16fd
4483,SW11 3NL,2,FLA,CNV,43.72574,3.9,14.7,15.2,10.8,11.3,59.0,3a7dcf5b21c8d1e08761d7d4caa7528a
4484,SW11 2JZ,3,FLA,BLK,105.10499,8.3,17.5,22.3,9.2,14.0,76.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4485,SW11 1QB,3,FLA,CNV,76.26374,10.3,16.7,20.1,6.4,9.8,63.0,c3a6db321feba2e0733e84e875f0c3f0
4486,SW11 5PA,2,HSE,TERR,44.73375,18.7,25.2,27.9,6.5,9.2,84.0,ee8c84b5f23e674c787ebe97a1fe3a5f
4487,SW11 3NL,3,FLA,CNV,35.49375,3.8,14.8,15.1,11.0,11.3,76.0,6ffbd06e7901a09564125719c48e5db4
4488,SW11 2JZ,3,FLA,BLK,105.10499,8.3,17.5,22.3,9.2,14.0,70.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4489,SW11 3NL,3,FLA,CNV,39.185,3.8,14.4,15.2,10.6,11.4,71.0,3a7dcf5b21c8d1e08761d7d4caa7528a
4490,SW11 5PA,5,HSE,TERR,67.8547,16.8,23.7,26.5,6.9,9.7,163.0,9899d86eab2d254d729e156882fc16fd
4491,SW11 3NL,3,FLA,CNV,36.29925,3.9,14.8,15.2,10.9,11.3,74.0,3a7dcf5b21c8d1e08761d7d4caa7528a
4492,SW11 1QB,2,FLA,CNV,64.65126,11.3,17.5,21.8,6.2,10.5,52.0,0270cc4b8fd306f25260b04897e6041f
4493,SW11 2JZ,3,FLA,BLK,105.10499,8.3,17.5,22.3,9.2,14.0,42.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4494,SW11 5PA,2,FLA,CNV,63.27,17.3,24.8,28.1,7.5,10.8,63.0,73d7322959e69cb2d98fa842c0c2da68
4495,SW11 1QB,2,FLA,CNV,64.65126,11.3,17.5,21.8,6.2,10.5,52.0,0270cc4b8fd306f25260b04897e6041f
4496,SW11 2JZ,3,FLA,CNV,96.8625,7.6,14.5,21.3,6.9,13.7,78.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4497,SW11 3NN,3,FLA,CNV,38.70499,4.0,15.0,15.6,11.0,11.6,73.0,97c5324950aef9c2abacf839bb388fde
4498,SW11 5PA,1,FLA,CNV,63.86876,17.2,24.3,27.6,7.1,10.4,104.0,73d7322959e69cb2d98fa842c0c2da68
4499,SW11 3NN,1,FLA,CNV,38.335,4.1,15.2,15.5,11.1,11.4,69.0,fc25ee413a834cf1038f5541fb1b93b3
4500,SW11 2JZ,3,FLA,BLK,105.10499,8.3,17.5,22.3,9.2,14.0,83.0,6a1eb4ce19221dbbf3f4d01324bd0d89
4501,SW11 6RA,4,HSE,TERR,85.34262,17.3,23.5,27.6,6.2,10.3,184.0,c1d62deb6c47a75db75d269bc97c4c61
4502,SW11 3NN,3,FLA,CNV,38.70499,4.0,15.0,15.6,11.0,11.6,74.0,97c5324950aef9c2abacf839bb388fde
